2018 SOC Code,Description
51-1011,Supervisor glass cut off
51-1011,Supervisor glaze
51-1011,Supervisor glazing dept
51-1011,Supervisor glue specialty
51-1011,Supervisor glycerin
51-1011,Supervisor grain and yeast plants
51-1011,Supervisor grease refining
51-1011,Supervisor green end dept
51-1011,Supervisor grinding
51-1011,Supervisor grinding and spraying
51-1011,Supervisor hairspring fabrication
51-1011,Supervisor hand silvering
51-1011,Supervisor hardboard
51-1011,Supervisor heat treat
51-1011,Supervisor heating and blending
51-1011,Supervisor hide house
51-1011,Supervisor hot dip plating
51-1011,Supervisor hot dip tinning
51-1011,Supervisor hot strip mill
51-1011,Supervisor hot wound spring production
51-1011,Supervisor house furnishings
51-1011,Supervisor hydrochloric area
51-1011,Supervisor ice house
51-1011,Supervisor incinerator plant general
51-1011,Supervisor industrial chemicals
51-1011,Supervisor insecticide
51-1011,Supervisor inspection
51-1011,Supervisor inspection and testing
51-1011,Supervisor instrument maintenance
51-1011,Supervisor insulation
51-1011,Supervisor jewel
51-1011,Supervisor jewelry department
51-1011,Supervisor knitting
51-1011,Supervisor laboratory
51-1011,Supervisor lace tearing
51-1011,Supervisor lamp shades
51-1011,Supervisor last model dept
51-1011,Supervisor laundry
51-1011,Supervisor lead burner
51-1011,Supervisor lead refinery
51-1011,Supervisor lead section
51-1011,Supervisor leather products
51-1011,Supervisor lime
51-1011,Supervisor line
51-1011,Supervisor liquefaction and regasification
51-1011,Supervisor liquid yeast
51-1011,Supervisor livestock yard
51-1011,Supervisor loading and unloading
51-1011,Supervisor loading rack
51-1011,Supervisor lubrication
51-1011,Supervisor lump room
51-1011,Supervisor machine assembler
51-1011,Supervisor machine setter
51-1011,Supervisor machine shop
51-1011,Supervisor machining
51-1011,Supervisor machining and assembly
51-1011,Supervisor mainspring fabrication
51-1011,Supervisor major appliance assembly
51-1011,Supervisor malt house
51-1011,Supervisor malted milk
51-1011,Supervisor manufactured buildings
51-1011,Supervisor maple products
51-1011,Supervisor matrix
51-1011,Supervisor mattress and boxsprings
51-1011,Supervisor melter
51-1011,Supervisor merchant mill rolling and finishing
51-1011,Supervisor metal cans
51-1011,Supervisor metal fabrication
51-1011,Supervisor metal furniture assembly
51-1011,Supervisor metal hanging
51-1011,Supervisor metalizing
51-1011,Supervisor microfilm duplicating unit
51-1011,Supervisor mill
51-1011,Supervisor mill house
51-1011,Supervisor mill labor
51-1011,Supervisor miller
51-1011,Supervisor milling
51-1011,Supervisor mirror dept
51-1011,Supervisor mirror fabrication
51-1011,Supervisor mixing
51-1011,Supervisor model and pattern
51-1011,Supervisor model making
51-1011,Supervisor mold cleaning and storage
51-1011,Supervisor mold making
51-1011,Supervisor mold making plastics sheets
51-1011,Supervisor mold shop
51-1011,Supervisor mold yarn
51-1011,Supervisor motion picture equipment
51-1011,Supervisor musical instrument
51-1011,Supervisor natural gas field processing
51-1011,Supervisor natural gas plant
51-1011,Supervisor net making
51-1011,Supervisor nitroglycerin
51-1011,Supervisor nut processing
51-1011,Supervisor nutritional yeast
51-1011,Supervisor offset plate preparation
51-1011,Supervisor open hearth stockyard
51-1011,Supervisor operations
51-1011,Supervisor optical instrument assembly
51-1011,Supervisor ordnance truck installation
51-1011,Supervisor ovens
51-1011,Supervisor packaging
51-1011,Supervisor packing
51-1011,Supervisor packing house
51-1011,Supervisor packing room
51-1011,Supervisor paint dept
51-1011,Supervisor paint roller covers
51-1011,Supervisor painting dept
51-1011,Supervisor paper coating
51-1011,Supervisor paper machine
51-1011,Supervisor paper products
51-1011,Supervisor paper testing
51-1011,Supervisor parachute
51-1011,Supervisor particle board
51-1011,Supervisor paste mixing
51-1011,Supervisor paste plant
51-1011,Supervisor paster
51-1011,Supervisor pattern chain maker
51-1011,Supervisor pattern grader
51-1011,Supervisor pattern marking
51-1011,Supervisor pattern shop
51-1011,Supervisor permanent mold
51-1011,Supervisor pharmaceutical compounding
51-1011,Supervisor phosphatic fertilizer
51-1011,Supervisor phosphoric acid
51-1011,Supervisor phosphorus processing
51-1011,Supervisor photoengraving
51-1011,Supervisor photographic
51-1011,Supervisor picking
51-1011,Supervisor pig machine
51-1011,Supervisor pigment making
51-1011,Supervisor pipe
51-1011,Supervisor pipe and boiler covers
51-1011,Supervisor pipe finishing
51-1011,Supervisor pipe joints
51-1011,Supervisor pipe line maintenance
51-1011,Supervisor pit
51-1011,Supervisor plant
51-1011,Supervisor plastic sheets
51-1011,Supervisor plastic sheets finishing
51-1011,Supervisor plastics
51-1011,Supervisor plate heating rolling and finishing
51-1011,Supervisor platform mill
51-1011,Supervisor plating and point assembly
51-1011,Supervisor pleating
51-1011,Supervisor poleyard
51-1011,Supervisor pond
51-1011,Supervisor porcelain enameling
51-1011,Supervisor pot lining
51-1011,Supervisor pot room
51-1011,Supervisor potato chip processing
51-1011,Supervisor poultry processing
51-1011,Supervisor powdered metal
51-1011,Supervisor powdered sugar
51-1011,Supervisor power plant operators
51-1011,Supervisor power reactor
51-1011,Supervisor precast and prestressed concrete
51-1011,Supervisor precipitator
51-1011,Supervisor preparation
51-1011,Supervisor preparation dept
51-1011,Supervisor preparation plant
51-1011,Supervisor press
51-1011,Supervisor press hand
51-1011,Supervisor press room
51-1011,Supervisor pressing dept
51-1011,Supervisor pressure
51-1011,Supervisor primer
51-1011,Supervisor printing and stamping
51-1011,Supervisor printing shop
51-1011,Supervisor process area
51-1011,Supervisor processing
51-1011,Supervisor processing talc and borate
51-1011,Supervisor product inspection
51-1011,Supervisor production dept
51-1011,Supervisor production exc managing
51-1011,Supervisor production machine shop
51-1011,Supervisor prop making
51-1011,Supervisor properties
51-1011,Supervisor publications production
51-1011,Supervisor pulp house
51-1011,Supervisor pulp plant
51-1011,Supervisor pumping station
51-1011,Supervisor purification
51-1011,Supervisor puttying and calking
51-1011,Supervisor quality control
51-1011,Supervisor quilting
51-1011,Supervisor rag room
51-1011,Supervisor ready mixed food preparations
51-1011,Supervisor receiving and processing
51-1011,Supervisor reclamation
51-1011,Supervisor record press
51-1011,Supervisor reduction plant
51-1011,Supervisor refining
51-1011,Supervisor relay shop
51-1011,Supervisor repulping
51-1011,Supervisor reverberatory furnace
51-1011,Supervisor rice milling
51-1011,Supervisor ride assembly
51-1011,Supervisor rocket propellant plant
51-1011,Supervisor roll shop
51-1011,Supervisor roller printing
51-1011,Supervisor roller shop
51-1011,Supervisor roofing plant
51-1011,Supervisor roving dept
51-1011,Supervisor rubber goods
51-1011,Supervisor rubber stamps and dies
51-1011,Supervisor rubber tire and tubes
51-1011,Supervisor rug cleaning
51-1011,Supervisor salvage
51-1011,Supervisor sample
51-1011,Supervisor sample preparation
51-1011,Supervisor sample room
51-1011,Supervisor sandblasting
51-1011,Supervisor sanding
51-1011,Supervisor sanitation
51-1011,Supervisor sawmill
51-1011,Supervisor scouring pads
51-1011,Supervisor scrap preparation
51-1011,Supervisor screen making
51-1011,Supervisor screen printing
51-1011,Supervisor screw
51-1011,Supervisor service
51-1011,Supervisor sewer system
51-1011,Supervisor sewing dept room etc
51-1011,Supervisor shearing
51-1011,Supervisor sheet manufacturing
51-1011,Supervisor sheet metal worker exc duct
51-1011,Supervisor shell shop
51-1011,Supervisor shift
51-1011,Supervisor shipfitters
51-1011,Supervisor shipping track
51-1011,Supervisor shoe repair
51-1011,Supervisor shop\ ns
51-1011,Supervisor shrink pit
51-1011,Supervisor shuttle fitting
51-1011,Supervisor shuttle preparation
51-1011,Supervisor shuttle veneering
51-1011,Supervisor silk screen cutting and printing
51-1011,Supervisor silvering department
51-1011,Supervisor silverware
51-1011,Supervisor sintering plant
51-1011,Supervisor ski production
51-1011,Supervisor slab conditioner
51-1011,Supervisor slate splitting
51-1011,Supervisor slitting and shipping
51-1011,Supervisor small appliance assembly
51-1011,Supervisor snow removing
51-1011,Supervisor soakers
51-1011,Supervisor soaking pits
51-1011,Supervisor soaping department
51-1011,Supervisor soft sugar
51-1011,Supervisor solder making
51-1011,Supervisor solid waste facility
51-1011,Supervisor sorting
51-1011,Supervisor special assemblies
51-1011,Supervisor specialty dept
51-1011,Supervisor specialty food products
51-1011,Supervisor specialty plant
51-1011,Supervisor spikemaking
51-1011,Supervisor spinning
51-1011,Supervisor split and drum room
51-1011,Supervisor split leather dept
51-1011,Supervisor sports equipment
51-1011,Supervisor spring production
51-1011,Supervisor spring up
51-1011,Supervisor stationary engineer
51-1011,Supervisor steel division
51-1011,Supervisor steel post installer
51-1011,Supervisor steffen house
51-1011,Supervisor stitching dept
51-1011,Supervisor stock
51-1011,Supervisor stocking and box shop
51-1011,Supervisor stonework
51-1011,Supervisor structural mill
51-1011,Supervisor structural rolling and finishing
51-1011,Supervisor sugar house
51-1011,Supervisor sugar refinery
51-1011,Supervisor sulfuric acid plant
51-1011,Supervisor surgical garment assembly
51-1011,Supervisor switchboard operator
51-1011,Supervisor tan room
51-1011,Supervisor tank cleaning
51-1011,Supervisor tank house
51-1011,Supervisor tank storage
51-1011,Supervisor tapper
51-1011,Supervisor tar distillation
51-1011,Supervisor tea and spice
51-1011,Supervisor testing and analysis department
51-1011,Supervisor textile
51-1011,Supervisor thermostatic controls
51-1011,Supervisor threshing department
51-1011,Supervisor tile and mottle
51-1011,Supervisor tipple
51-1011,Supervisor TNT line
51-1011,Supervisor toilet and laundry soap
51-1011,Supervisor tool and die
51-1011,Supervisor tool machine shop
51-1011,Supervisor tower
51-1011,Supervisor toy assembly
51-1011,Supervisor toy parts former
51-1011,Supervisor tracer bullet section
51-1011,Supervisor transformer assembly
51-1011,Supervisor transformer shop
51-1011,Supervisor treating and pumping
51-1011,Supervisor treating plant
51-1011,Supervisor tufting
51-1011,Supervisor tumblers
51-1011,Supervisor tumbling and rolling
51-1011,Supervisor turn
51-1011,Supervisor typesetting
51-1011,Supervisor umbrella
51-1011,Supervisor upholstery dept
51-1011,Supervisor uranium processing
51-1011,Supervisor vacuum metalizing
51-1011,Supervisor varnish
51-1011,Supervisor vat house
51-1011,Supervisor veneer
51-1011,Supervisor wall mirror dept
51-1011,Supervisor wash house
51-1011,Supervisor washing and screening plant
51-1011,Supervisor wastewater treatment
51-1011,Supervisor watch mfg
51-1011,Supervisor weave room
51-1011,Supervisor weaving
51-1011,Supervisor webbing
51-1011,Supervisor welding
51-1011,Supervisor wet end
51-1011,Supervisor wet pour
51-1011,Supervisor wet room
51-1011,Supervisor whipped topping
51-1011,Supervisor white sugar
51-1011,Supervisor winding and twisting dept
51-1011,Supervisor wire rope fabrication
51-1011,Supervisor wood crew
51-1011,Supervisor wood room
51-1011,Supervisor yeast
51-1011,Supervisor\ ns
51-1011,Supervisory wastewater treatment plant operator
51-1011,Tipple boss
51-1011,Transfer and pumphouse operator chief
51-1011,Turbine operator head
51-1011,Well puller head
51-1011,Wood grinder head
51-1011,Woods boss
51-2011,Aircraft de icer installer
51-2011,Aircraft fuselage framer
51-2011,Aircraft riveter
51-2011,Assembler aircraft parts\ ns
51-2011,Assembler aircraft structures and surfaces
51-2011,Assembler experimental
51-2011,Assembler hydraulic
51-2011,Assembler plumbing
51-2011,Assembler tubing
51-2011,Blanket maker
51-2011,Body joiner
51-2011,Body liner
51-2011,Body man
51-2011,Conduit bender
51-2011,De icer installer
51-2011,Erco machine operator
51-2011,Fuselage framer
51-2011,Harness builder
51-2011,Harness installer
51-2011,Honeycomb blanket maker
51-2011,Manifold builder
51-2011,Metal bonder
51-2011,Metal fitter
51-2011,Rib builder
51-2011,Safety glass installer
51-2011,Shield installer
51-2011,Shroudman
51-2011,Skin fitter
51-2011,Skin installer
51-2011,Spar finisher
51-2011,Tab builder
51-2011,Wing coverer
51-2020,Anode builder
51-2020,Assembler adp electromechanical equipment
51-2020,Assembler appliance
51-2020,Assembler automobile lights
51-2020,Assembler battery
51-2020,Assembler battery plate
51-2020,Assembler burglar alarm
51-2020,Assembler capacitor
51-2020,Assembler carbon brusher
51-2020,Assembler cathode ray tube
51-2020,Assembler coil machine
51-2020,Assembler commutator
51-2020,Assembler computer
51-2020,Assembler console (organs)
51-2020,Assembler coping machine
51-2020,Assembler electric motor controls
51-2020,Assembler electric motor exc repair
51-2020,Assembler electric motor winders
51-2020,Assembler electric organ
51-2020,Assembler electric sign
51-2020,Assembler electrical
51-2020,Assembler electrical controls
51-2020,Assembler electromechanical
51-2020,Assembler electronic
51-2020,Assembler electronic components
51-2020,Assembler electronic sensing equipment
51-2020,Assembler field ring
51-2020,Assembler headlight
51-2020,Assembler household appliance
51-2020,Assembler instrument panel
51-2020,Assembler keyboard action
51-2020,Assembler lamp exc shade
51-2020,Assembler magnet value
51-2020,Assembler microwave oven
51-2020,Assembler motor vehicle light
51-2020,Assembler octave board
51-2020,Assembler organ electric
51-2020,Assembler phonograph cartridge
51-2020,Assembler printed circuit board
51-2020,Assembler radio
51-2020,Assembler record changer
51-2020,Assembler refrigerator
51-2020,Assembler servomechanism
51-2020,Assembler spark plug
51-2020,Assembler switchbox
51-2020,Assembler telephone
51-2020,Assembler transformer
51-2020,Assembler typewriter
51-2020,Assembler vacuum cleaner
51-2020,Assembler vending machine
51-2020,Assembler washer
51-2020,Assembler wave guide
51-2020,Assembler xerox machine
51-2020,Assembler\ ns
51-2020,Battery builder
51-2022,Circuit board assembler
51-2020,Coil builder
51-2020,Coil finisher
51-2020,Coil former
51-2020,Coil maker
51-2020,Coil taper
51-2020,Coil winder
51-2020,Condenser winder
51-2020,Connector
51-2020,Core winder
51-2020,Crystal calibrator
51-2020,Electric wirer
51-2020,Electrical wirer
51-2020,Electronic scale subassembler
51-2020,Electronic wirer
51-2020,Electronics utility worker
51-2020,Grid operator
51-2020,Industrial equipment wirer
51-2020,Motor rewinder
51-2020,Motor winder
51-2020,Multiple coil winder
51-2020,Pre assembly wirer
51-2023,Programmable logic controller assembler
51-2020,Relay adjuster
51-2020,Rotor coil taper
51-2020,Speaker wirer
51-2020,Stator connector
51-2020,Stator winder
51-2023,Synchronous motor assembler
51-2020,Transformer
51-2020,Transformer builder
51-2020,Transformer maker
51-2020,Tube rebuilder
51-2020,Wire bender
51-2020,Wire coiler
51-2020,Wire coiler machine operator
51-2020,Wire winder
51-2020,Wire winding machine tender
51-2020,Wire worker
51-2020,Wirer\ ns
51-2020,X ray electronics wireman
51-2031,Assembler air conditioning coil
51-2031,Assembler aircraft engine
51-2031,Assembler aircraft power plant
51-2031,Assembler automobile engine
51-2031,Assembler bearing ring
51-2031,Assembler blower and compressor
51-2031,Assembler compressor
51-2031,Assembler crane
51-2031,Assembler engine exc electric
51-2031,Assembler farm equipment
51-2031,Assembler farm machinery
51-2031,Assembler gasoline engine
51-2031,Assembler generator exc repair
51-2031,Assembler injector
51-2031,Assembler internal combustion engine
51-2031,Assembler machine exc industrial
51-2031,Assembler mining machinery
51-2031,Assembler motors exc electric
51-2031,Assembler precision machine metal
51-2031,Assembler sewing machine
51-2031,Assembler steam and gas turbines
51-2031,Assembler tractor engine
51-2031,Assembler truck engine
51-2031,Assembler turbine
51-2031,Assembler turbine blade
51-2031,Assembler turbine engine
51-2031,Engine cowling installer
51-2031,Exhaust machine operator
51-2031,Gas turbine assembler
51-2031,Machine builder
51-2031,Machine subassembler
51-2031,Motor builder assembling
51-2031,Motor installer
51-2031,Motor setter
51-2031,Valve maker
51-2031,Valve setter
51-2041,Apprentice ornamental metal worker
51-2041,Assembler motorcycle
51-2041,Box maker metal
51-2041,Cage maker machine
51-2041,Fitter structural metal
51-2041,Metal fabricator structural and ornamental metalwork
51-2041,Metal fabricator\ ns
51-2041,Mill beam fitter
51-2041,Motorcycle maker
51-2041,Ornamental metal worker
51-2041,Pneumatic tool operator
51-2041,Protector plate attacher
51-2041,Steel fabricator structural and ornamental metalwork
51-2041,Steelworker\ ns other activity or none
51-20XX,Action finisher
51-20XX,Action installer
51-2099,Adjuster\ ns
51-20XX,Ager
51-20XX,Air bag builder
51-20XX,Antenna installer
51-20XX,Antisqueak worker
51-20XX,Arm rest builder
51-20XX,Art display maker
51-20XX,Artificial cherry maker
51-20XX,Artificial flower maker
51-20XX,Artificial pearl maker
51-20XX,Assembler aluminum boats
51-20XX,Assembler atomizer
51-20XX,Assembler automobile exc engine
51-20XX,Assembler automobile parts\ ns
51-20XX,Assembler balance
51-20XX,Assembler balance and hairspring
51-20XX,Assembler ballpoint pens
51-20XX,Assembler barrel
51-20XX,Assembler barrel bridge
51-20XX,Assembler bellows
51-20XX,Assembler bellows charger
51-20XX,Assembler bench
51-20XX,Assembler bicycle
51-20XX,Assembler billet
51-20XX,Assembler billiard table
51-20XX,Assembler bird cage
51-20XX,Assembler blasting cap
51-20XX,Assembler boat aluminum
51-20XX,Assembler boat exc aluminum
51-20XX,Assembler booster
51-20XX,Assembler bowling ball
51-20XX,Assembler cable mock up
51-20XX,Assembler camera
51-20XX,Assembler camper
51-20XX,Assembler casket metal
51-20XX,Assembler chronometer
51-20XX,Assembler clamp jig
51-20XX,Assembler clock and watch
51-20XX,Assembler cosmetic
51-20XX,Assembler curtain roller
51-20XX,Assembler curtain stretcher
51-20XX,Assembler dater
51-20XX,Assembler de icer kit
51-20XX,Assembler desk pens
51-20XX,Assembler detonator
51-20XX,Assembler door
51-20XX,Assembler drapery rod
51-20XX,Assembler ear muff
51-20XX,Assembler faucets
51-20XX,Assembler filters
51-20XX,Assembler final
51-20XX,Assembler fireworks
51-20XX,Assembler fishing floats
51-20XX,Assembler furniture
51-20XX,Assembler fuse
51-20XX,Assembler golf cart
51-20XX,Assembler golf club
51-20XX,Assembler hairspring
51-20XX,Assembler hogshead mat
51-20XX,Assembler hydraulic chair
51-20XX,Assembler knife setter
51-20XX,Assembler lamp shade
51-20XX,Assembler liner
51-20XX,Assembler mechanical
51-20XX,Assembler mechanical pencils
51-20XX,Assembler metal furniture
51-20XX,Assembler mock up
51-20XX,Assembler musical instruments
51-20XX,Assembler oil seal
51-20XX,Assembler organ exc electric
51-20XX,Assembler photo tube
51-20XX,Assembler piano
51-20XX,Assembler precision electronic equipment
51-20XX,Assembler primer
51-20XX,Assembler production
51-20XX,Assembler production line
51-20XX,Assembler propellant
51-20XX,Assembler reel
51-20XX,Assembler regulator
51-20XX,Assembler roller skates
51-20XX,Assembler screw eye
51-20XX,Assembler scroll
51-20XX,Assembler seater
51-20XX,Assembler shell
51-20XX,Assembler silk screen frame
51-20XX,Assembler silver holloware
51-20XX,Assembler spring
51-20XX,Assembler stopperer
51-20XX,Assembler table
51-20XX,Assembler tank
51-20XX,Assembler team
51-20XX,Assembler toy
51-20XX,Assembler trailer
51-20XX,Assembler travel trailer components
51-20XX,Assembler traverse rod
51-20XX,Assembler trombone slide
51-20XX,Assembler trophy
51-20XX,Assembler truck exc engine
51-20XX,Assembler truss
51-20XX,Assembler utility bag
51-20XX,Assembler vacuum bottle
51-20XX,Assembler venetian blind
51-20XX,Assembler watch
51-20XX,Assembler watch band
51-20XX,Assembler watch train
51-20XX,Assembler wax pattern
51-20XX,Assembler\ ns or other specified nec
51-20XX,Assembling machine operator
51-20XX,Auto battery builder
51-20XX,Auto seat cover installer
51-20XX,Auto slip cover installer
51-20XX,Auto vinyl top installer
51-20XX,Awning maker
51-20XX,Back hanger
51-20XX,Baffle installer
51-20XX,Baffle mounter
51-20XX,Bait maker
51-20XX,Ball boy
51-20XX,Ball holder
51-20XX,Band attacher
51-20XX,Band top maker
51-20XX,Banking pin adjuster
51-20XX,Barrel cap setter
51-20XX,Barrel maker
51-20XX,Barrel raiser
51-20XX,Barrel straightener
51-20XX,Base brander
51-20XX,Baser
51-20XX,Bead builder
51-20XX,Bead stringer
51-20XX,Bead wrapper
51-20XX,Beader
51-20XX,Beading installer
51-20XX,Bed maker
51-20XX,Bed spring maker
51-20XX,Belt buckle maker
51-20XX,Belt builder
51-20XX,Belt molder
51-20XX,Bench hand
51-20XX,Blind lacer
51-20XX,Blindmaker
51-20XX,Boat builder fiberglass
51-20XX,Boat builder\ ns
51-20XX,Boat outfitter
51-20XX,Boat wrapper
51-20XX,Body builder
51-20XX,Body fitter
51-20XX,Body maker
51-20XX,Bottom liner
51-20XX,Bow maker
51-20XX,Box boy
51-20XX,Box maker wood
51-20XX,Box spring maker
51-20XX,Buckle coverer
51-20XX,Buckle gluer
51-20XX,Buckle stringer
51-20XX,Bulldozer hand
51-20XX,Button maker
51-20XX,Button riveter
51-20XX,Cabinet mounter
51-20XX,Cabinetmaker
51-20XX,Cable maker
51-20XX,Calibrator exc repairing
51-20XX,Camera maker
51-20XX,Camper
51-20XX,Can maker
51-20XX,Cane splicer
51-20XX,Caner
51-20XX,Car builder
51-2099,Car framer
51-20XX,Car head liner installer
51-20XX,Car seat coverer
51-20XX,Cartridge maker
51-20XX,Case fitter
51-20XX,Casing puller
51-20XX,Casing tier
51-20XX,Casing trimmer
51-20XX,Casket maker metal
51-20XX,Cell tuber hand
51-20XX,Chair caner
51-20XX,Chair frame builder
51-20XX,Chair maker
51-20XX,Chair springer
51-20XX,Channel installer
51-20XX,Chronometer adjuster
51-20XX,Clamp carrier operator
51-20XX,Clamp operator
51-20XX,Clamper
51-20XX,Colleter
51-20XX,Coverer
51-20XX,Crate builder
51-20XX,Crate maker
51-20XX,Crutch maker
51-20XX,Cushion builder
51-20XX,Cushion filler
51-20XX,Cushion maker
51-20XX,Damper fitter
51-20XX,Deadener
51-20XX,Deck lid fitter
51-20XX,Design inserter
51-20XX,Desk maker
51-20XX,Desolderer
51-20XX,Detailer\ ns
51-20XX,Detonator maker
51-20XX,Dial maker
51-20XX,Dial mounter
51-20XX,Dialer
51-20XX,Dice maker
51-2061,Digital watch assembler
51-20XX,Display screen fabricator
51-20XX,Doll dresser
51-20XX,Doll maker
51-20XX,Door builder
51-20XX,Door fitter
51-20XX,Door frame builder
51-20XX,Door framer
51-20XX,Door hanger
51-20XX,Door liner
51-20XX,Door paneler
51-20XX,Door patcher
51-20XX,Doormaker
51-20XX,Drawer fitter
51-20XX,Drawer maker
51-20XX,Drawer upfitter
51-20XX,Drip molder
51-20XX,Dust mop maker
51-20XX,Earring maker
51-20XX,Egg processor
51-20XX,Elastic tape inserter
51-20XX,Electric screw driver operator
51-20XX,Electrical calibrator
51-2061,Electrical timing device adjuster
51-20XX,Element burner
51-20XX,Element setter
51-20XX,End maker
51-20XX,Escapement maker
51-20XX,Escapement matcher
51-20XX,Explosive operator
51-20XX,Fabricator assembling
51-20XX,Favor maker
51-20XX,Fiberglass boat maker
51-20XX,Fiberglass container winding operator
51-20XX,Fiberglass fabricator
51-20XX,Fiberglass laminator
51-20XX,Fiberglass luggage molder
51-20XX,Fiberglass machine operator
51-2051,Fiberglass ski maker
51-20XX,Filament maker
51-20XX,Filament shaper
51-20XX,Final assembly worker
51-20XX,Finer
51-20XX,Finish off operator
51-20XX,Fireproof door maker
51-20XX,Fireworks maker
51-20XX,Fitter\ ns
51-20XX,Flange machine operator
51-20XX,Fletcher
51-20XX,Flower maker
51-20XX,Fly finisher
51-20XX,Fly maker
51-20XX,Fly tier
51-20XX,Frame builder
51-20XX,Frame expander
51-20XX,Frame maker
51-20XX,Framer
51-20XX,Framing consultant
51-20XX,Furniture fabricator
51-20XX,Furniture maker
51-20XX,Gasket winder
51-20XX,Glass worker
51-20XX,Glue clamp operator
51-20XX,Golf cart maker
51-20XX,Golf club maker
51-20XX,Grid trimmer
51-20XX,Hair spring cutter
51-20XX,Hair weaver
51-20XX,Hairspring adjuster
51-20XX,Hairspring setter
51-20XX,Hairspring staker
51-20XX,Hairspring truer
51-20XX,Hairspring vibrator
51-20XX,Handbag framer
51-20XX,Handbag operator
51-20XX,Hardener\ ns
51-20XX,Hardware installer
51-20XX,Harmonica maker
51-20XX,Harness builder
51-20XX,Harness rigger
51-20XX,Harnessmaker
51-20XX,Headliner installer
51-20XX,Helper core maker
51-20XX,Hog ringer
51-20XX,Hogshead builder
51-20XX,Hogshead cooper
51-20XX,Hood fitter
51-20XX,Hood maker
51-20XX,Hose builder
51-20XX,Hose maker
51-20XX,Housing installer
51-20XX,Hub bander
51-20XX,Installer muffler
51-20XX,Insulation blanket maker
51-20XX,Insulator
51-20XX,Jig builder
51-20XX,Jig fitter
51-20XX,Joiner
51-20XX,Jointer
51-20XX,Keg raiser
51-20XX,Kiln furniture caster
51-20XX,Knocker off
51-20XX,Knockup worker
51-20XX,Laminator\ ns
51-2092,Lead team assembler
51-20XX,Leak hunter
51-20XX,Lens matcher
51-20XX,Line leader
51-20XX,Line operator
51-20XX,Lineman\ ns
51-20XX,Liner
51-20XX,Liner installer
51-20XX,Linker
51-20XX,Lure maker
51-20XX,Machine stuffer
51-20XX,Mainspring former
51-20XX,Mainspring winder
51-20XX,Major assembly lineman
51-20XX,Mallet cutter
51-2061,Marine chronometer assembler
51-20XX,Mat maker
51-20XX,Mattress filler
51-20XX,Mattress finisher
51-20XX,Mattress maker
51-20XX,Mattress renovator
51-20XX,Mattress stuffer
51-20XX,Mattress weaver
51-20XX,Medical instrument cable fabricator
51-20XX,Merry go round worker
51-20XX,Metal cabinet finisher
51-20XX,Metal container maker
51-20XX,Metal hanger
51-20XX,Metal window frame maker
51-20XX,Meter maker
51-20XX,Mica paster
51-20XX,Mirror framer
51-20XX,Mold filler
51-20XX,Mounter\ ns
51-20XX,Organ builder
51-20XX,Overcoil stepper
51-20XX,Overcoiler
51-20XX,Pad hand
51-20XX,Pad maker
51-20XX,Panel maker
51-20XX,Paper box maker
51-20XX,Paper novelty maker
51-20XX,Papier mache molder
51-20XX,Pearl maker
51-20XX,Pearl stringer
51-20XX,Pegger
51-20XX,Pen maker
51-20XX,Pencil maker
51-20XX,Piano builder
51-20XX,Piano maker
51-20XX,Picture frame maker
51-20XX,Picture framer
51-20XX,Piston maker
51-20XX,Plastic fabricator
51-20XX,Plastic maker
51-20XX,Plexiglas former
51-20XX,Plier worker
51-20XX,Plug maker
51-20XX,Plywood patcher
51-20XX,Pocket machine operator
51-20XX,Pocketbook maker
51-20XX,Poiser
51-20XX,Pot builder
51-20XX,Power screwdriver operator
51-20XX,Prefabricator
51-20XX,Production
51-20XX,Production hand
51-20XX,Production leader
51-20XX,Production line
51-20XX,Production line worker
51-20XX,Production worker
51-20XX,Pulley man
51-20XX,Purse maker
51-20XX,Quarter trimmer
51-20XX,Quilt stuffer
51-20XX,Racquet maker
51-20XX,Raiser
51-20XX,Range mounter
51-20XX,Reeler
51-20XX,Relief man
51-20XX,Rod hanger
51-20XX,Roller
51-20XX,Rubber stamp maker
51-20XX,Rush seater
51-20XX,Safety glass installer
51-20XX,Sample card maker
51-20XX,Sample mounter
51-20XX,Sample paster
51-20XX,Sash finisher
51-20XX,Sash maker
51-20XX,Screen door maker
51-20XX,Screw driver operator
51-20XX,Seat builder
51-20XX,Seat cover installer
51-20XX,Seat coverer
51-20XX,Seat installer
51-20XX,Seat maker
51-20XX,Shade bander
51-20XX,Sheet turner
51-20XX,Ship liner
51-20XX,Shock absorber installer
51-20XX,Sign maker
51-20XX,Ski maker exc wood
51-20XX,Sneller
51-20XX,Speaker mounter
51-20XX,Spring setter
51-20XX,Springer
51-20XX,Springer up
51-20XX,Staker\ ns
51-20XX,Stamp maker
51-20XX,Stem maker
51-20XX,Stem shaper
51-20XX,Sticker up
51-20XX,Storm door maker
51-20XX,Storm sash maker
51-20XX,Stove fitter
51-20XX,Stove mounter
51-20XX,Subassembler
51-20XX,Swatch paster
51-20XX,Table maker
51-20XX,Tank cooper
51-20XX,Tanker
51-20XX,Tap builder
51-20XX,Tap puller
51-20XX,Tappet adjuster
51-2092,Team assembly line machine operator
51-2092,Team automobile assembler
51-20XX,Thermostat maker
51-20XX,Timing adjuster
51-20XX,Tire beader maker
51-20XX,Top installer
51-20XX,Trainer
51-20XX,Trim attacher
51-20XX,Trim installer
51-20XX,Trim line worker
51-20XX,Trimmer metal
51-20XX,Truer
