O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-1021.00,General and Operations Managers,IBM Notes,43233501,Electronic mail software,Y
11-1021.00,General and Operations Managers,IBM Power Systems software,43233701,Enterprise system management software,N
11-1021.00,General and Operations Managers,IBM SPSS Statistics,43232605,Analytical or scientific software,Y
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,43232603,Facilities management software,N
11-1021.00,General and Operations Managers,Intuit QuickBooks,43231601,Accounting software,Y
11-1021.00,General and Operations Managers,Inventory management software,43231508,Inventory management software,N
11-1021.00,General and Operations Managers,Job control language JCL,43233004,Operating system software,N
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,43231605,Time accounting software,N
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,43231605,Time accounting software,N
11-1021.00,General and Operations Managers,LexisNexis,43232309,Information retrieval or search software,N
11-1021.00,General and Operations Managers,LinkedIn,43232107,Web page creation and editing software,Y
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,43231506,Materials requirements planning logistics and supply chain software,N
11-1021.00,General and Operations Managers,Marketo Marketing Automation,43231514,Sales and marketing software,Y
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,McAfee,43233205,Transaction security and virus protection software,N
11-1021.00,General and Operations Managers,Microsoft Access,43232306,Data base user interface and query software,Y
11-1021.00,General and Operations Managers,Microsoft Dynamics,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Microsoft Dynamics GP,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Microsoft Excel,43232110,Spreadsheet software,Y
11-1021.00,General and Operations Managers,Microsoft Exchange Server,43233501,Electronic mail software,Y
11-1021.00,General and Operations Managers,Microsoft FrontPage,43232107,Web page creation and editing software,N
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,43232705,Internet browser software,N
11-1021.00,General and Operations Managers,Microsoft Office,43231513,Office suite software,Y
11-1021.00,General and Operations Managers,Microsoft Outlook,43233501,Electronic mail software,Y
11-1021.00,General and Operations Managers,Microsoft PowerPoint,43232106,Presentation software,Y
11-1021.00,General and Operations Managers,Microsoft Project,43231507,Project management software,Y
11-1021.00,General and Operations Managers,Microsoft Publisher,43232112,Desktop publishing software,N
11-1021.00,General and Operations Managers,Microsoft SharePoint,43231507,Project management software,Y
11-1021.00,General and Operations Managers,Microsoft SQL Server,43232306,Data base user interface and query software,Y
11-1021.00,General and Operations Managers,Microsoft Visio,43232102,Graphics or photo imaging software,Y
11-1021.00,General and Operations Managers,Microsoft Visual Basic,43232402,Development environment software,Y
11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,43232402,Development environment software,Y
11-1021.00,General and Operations Managers,Microsoft Windows,43233004,Operating system software,Y
11-1021.00,General and Operations Managers,Microsoft Word,43232104,Word processing software,Y
11-1021.00,General and Operations Managers,MicroStrategy,43232314,Business intelligence and data analysis software,Y
11-1021.00,General and Operations Managers,Minitab,43232605,Analytical or scientific software,Y
11-1021.00,General and Operations Managers,Mozilla Firefox,43232705,Internet browser software,N
11-1021.00,General and Operations Managers,Mozilla Thunderbird,43233501,Electronic mail software,N
11-1021.00,General and Operations Managers,Nagios,43232801,Network monitoring software,Y
11-1021.00,General and Operations Managers,NetSuite ERP,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,NetSuite NetCRM,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,43232314,Business intelligence and data analysis software,Y
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,43231604,Financial analysis software,N
11-1021.00,General and Operations Managers,Oracle Eloqua,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Oracle Fusion Applications,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Oracle Hyperion,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Oracle PeopleSoft,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,43231507,Project management software,Y
11-1021.00,General and Operations Managers,Oracle software,43232306,Data base user interface and query software,Y
11-1021.00,General and Operations Managers,Oracle Solaris,43233004,Operating system software,Y
11-1021.00,General and Operations Managers,Oracle Taleo,43231505,Human resources software,Y
11-1021.00,General and Operations Managers,Payroll software,43231605,Time accounting software,N
11-1021.00,General and Operations Managers,Personnel scheduling software,43231505,Human resources software,N
11-1021.00,General and Operations Managers,Point of sale POS software,43232611,Point of sale POS software,N
11-1021.00,General and Operations Managers,PostgreSQL,43232311,Object oriented data base management software,Y
11-1021.00,General and Operations Managers,Puppet,43232401,Configuration management software,Y
11-1021.00,General and Operations Managers,Qlik Tech QlikView,43232314,Business intelligence and data analysis software,Y
11-1021.00,General and Operations Managers,R,43232405,Object or component oriented development software,Y
11-1021.00,General and Operations Managers,Realization Streamliner,43231507,Project management software,N
11-1021.00,General and Operations Managers,Sage 50 Accounting,43231601,Accounting software,N
11-1021.00,General and Operations Managers,Sage ACT!,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Sage MAS 500,43231604,Financial analysis software,N
11-1021.00,General and Operations Managers,Salesforce software,43232303,Customer relationship management CRM software,Y
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,SAP,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,SAP Business Objects,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,SAP Crystal Reports,43232305,Data base reporting software,Y
11-1021.00,General and Operations Managers,SAS,43232605,Analytical or scientific software,Y
11-1021.00,General and Operations Managers,Savant MobileRanger,43232306,Data base user interface and query software,N
11-1021.00,General and Operations Managers,SeaMonkey,43232705,Internet browser software,N
11-1021.00,General and Operations Managers,Shell script,43233004,Operating system software,Y
11-1021.00,General and Operations Managers,Siemens NX for Manufacturing,43232612,Computer aided manufacturing CAM software,N
11-1021.00,General and Operations Managers,Social media sites,43232107,Web page creation and editing software,Y
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Splunk Enterprise,43233701,Enterprise system management software,Y
11-1021.00,General and Operations Managers,StataCorp Stata,43232605,Analytical or scientific software,N
11-1021.00,General and Operations Managers,Structured query language SQL,43232306,Data base user interface and query software,Y
11-1021.00,General and Operations Managers,Sugar CRM,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,43232608,Industrial control software,Y
11-1021.00,General and Operations Managers,Symantec,43233205,Transaction security and virus protection software,Y
11-1021.00,General and Operations Managers,Tableau,43232314,Business intelligence and data analysis software,Y
11-1021.00,General and Operations Managers,Tax software,43231601,Accounting software,N
11-1021.00,General and Operations Managers,Teradata Database,43232304,Data base management system software,Y
11-1021.00,General and Operations Managers,The MathWorks MATLAB,43232605,Analytical or scientific software,Y
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Veritas NetBackup,43233415,Backup or archival software,N
11-1021.00,General and Operations Managers,vtiger CRM,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Yardi,43232306,Data base user interface and query software,Y
11-1021.00,General and Operations Managers,YouTube,43232103,Video creation and editing software,Y
11-1031.00,Legislators,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
11-1031.00,Legislators,Adobe Systems Adobe FrameMaker,43232112,Desktop publishing software,N
11-1031.00,Legislators,Antenna House,43232112,Desktop publishing software,N
11-1031.00,Legislators,Apple iWork Keynote,43232106,Presentation software,N
11-1031.00,Legislators,Apple Numbers for Mac,43232110,Spreadsheet software,N
11-1031.00,Legislators,Apple Pages for Mac,43232104,Word processing software,N
11-1031.00,Legislators,Cisco AnyConnect,43232901,Access software,N
11-1031.00,Legislators,Cisco Systems WebEx,43233502,Video conferencing software,N
